Frame,Class ID,Object Name,Confidence,X1,Y1,X2,Y2,Distance
Frame,Trajectory,Class ID,Object Name,Confidence,Distance,X1,Y1,X2,Y2
5,,0.0,person,0.8929669260978699,106.1494140625,107.4202880859375,639.5374145507812,479.75030517578125,Error: No Lines Detected
6,,0.0,person,0.8996657133102417,102.1502685546875,105.59693908691406,640.0,479.710693359375,Error: No Lines Detected
7,,0.0,person,0.8100055456161499,86.9876708984375,105.81378173828125,638.28369140625,479.71673583984375,Error: No Lines Detected
8,,0.0,person,0.8578264713287354,109.71978759765625,106.47772216796875,639.9720458984375,479.8463134765625,Error: No Lines Detected
9,,0.0,person,0.9007347822189331,89.52508544921875,105.95042419433594,639.8905029296875,479.76904296875,Error: No Lines Detected
10,,0.0,person,0.873266339302063,100.30682373046875,106.2969970703125,640.0,479.734619140625,Error: No Lines Detected
11,,0.0,person,0.8649641871452332,95.871337890625,105.50518798828125,640.0,479.87542724609375,Error: No Lines Detected
12,,0.0,person,0.8191947340965271,96.59161376953125,105.7388916015625,640.0,479.82257080078125,Error: No Lines Detected
12,,40.0,wine glass,0.27303609251976013,515.5110473632812,5.00799560546875,639.7196655273438,275.13311767578125,Error: No Lines Detected
13,,0.0,person,0.9018889665603638,98.2557373046875,105.95022583007812,640.0,479.8382873535156,Error: No Lines Detected
14,,0.0,person,0.9028355479240417,106.2939453125,106.4273681640625,640.0,479.8984375,Error: No Lines Detected
14,,40.0,wine glass,0.3444244861602783,531.1243896484375,67.78799438476562,580.6397705078125,190.1473388671875,Error: No Lines Detected
15,,0.0,person,0.8826243281364441,99.45501708984375,106.10833740234375,639.618896484375,479.68157958984375,Error: No Lines Detected
16,,0.0,person,0.8610440492630005,86.928466796875,106.09039306640625,639.6786499023438,479.773681640625,Error: No Lines Detected
17,,0.0,person,0.8298847675323486,99.3883056640625,106.79122924804688,639.80029296875,479.5502624511719,Error: No Lines Detected
18,,0.0,person,0.8429858684539795,82.5135498046875,104.28872680664062,640.0,479.7035827636719,Error: No Lines Detected
18,,40.0,wine glass,0.3981330692768097,517.5473022460938,12.22222900390625,635.5847778320312,277.6999206542969,Error: No Lines Detected
18,,40.0,wine glass,0.25312507152557373,517.031005859375,19.887786865234375,602.314453125,274.23480224609375,Error: No Lines Detected
19,,0.0,person,0.8752592206001282,92.73504638671875,103.6195068359375,640.0,479.65155029296875,Error: No Lines Detected
20,,0.0,person,0.8520993590354919,96.5960693359375,102.22996520996094,634.9526977539062,479.864990234375,Error: No Lines Detected
21,,0.0,person,0.8866406083106995,99.50787353515625,101.16732788085938,640.0,479.6127624511719,Error: No Lines Detected
22,,0.0,person,0.8906777501106262,89.43341064453125,101.1915283203125,640.0,479.75372314453125,Error: No Lines Detected
23,,0.0,person,0.8693327307701111,114.79290771484375,101.87867736816406,640.0,479.43408203125,Error: No Lines Detected
23,,40.0,wine glass,0.41230690479278564,514.8228759765625,4.392730712890625,639.6175537109375,275.5723876953125,Error: No Lines Detected
24,,0.0,person,0.8837438821792603,103.17620849609375,103.47438049316406,639.4884033203125,479.320068359375,Error: No Lines Detected
24,,40.0,wine glass,0.28490152955055237,516.5569458007812,16.019500732421875,632.4413452148438,275.587158203125,Error: No Lines Detected
25,,0.0,person,0.8843004107475281,94.44635009765625,104.76119995117188,639.5626831054688,479.4143981933594,Error: No Lines Detected
